"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"18/04/2025","96,400.0","98,700.0","98,700.0","95,800.0","8.70K","1.47%"
"17/04/2025","95,000.0","95,000.0","95,200.0","94,000.0","9.90K","-0.52%"
"16/04/2025","95,500.0","96,100.0","96,100.0","95,300.0","11.30K","-0.62%"
"15/04/2025","96,100.0","97,700.0","97,700.0","95,100.0","10.00K","-1.33%"
"14/04/2025","97,400.0","96,900.0","98,000.0","96,000.0","20.60K","0.52%"
"11/04/2025","96,900.0","99,000.0","99,500.0","95,800.0","51.30K","1.15%"
"10/04/2025","95,800.0","95,800.0","95,800.0","95,800.0","24.80K","6.92%"
"09/04/2025","89,600.0","88,000.0","91,000.0","87,000.0","62.00K","-1.32%"
"08/04/2025","90,800.0","93,900.0","93,900.0","88,000.0","53.70K","-2.26%"
"04/04/2025","92,900.0","89,000.0","92,900.0","88,600.0","55.10K","-1.69%"
"03/04/2025","94,500.0","95,000.0","99,000.0","93,600.0","67.70K","-5.22%"
"02/04/2025","99,700.0","99,900.0","99,900.0","99,600.0","10.30K","-0.20%"
"01/04/2025","99,900.0","100,000.0","100,000.0","99,800.0","3.90K","-0.10%"
"31/03/2025","100,000.0","100,000.0","100,000.0","99,400.0","16.50K","0.00%"
"28/03/2025","100,000.0","101,200.0","101,200.0","100,000.0","3.20K","0.00%"
"27/03/2025","100,000.0","100,000.0","100,900.0","100,000.0","13.50K","0.00%"
"26/03/2025","100,000.0","100,100.0","100,100.0","99,800.0","10.70K","0.00%"
"25/03/2025","100,000.0","100,200.0","100,200.0","100,000.0","4.10K","-0.20%"
"24/03/2025","100,200.0","100,000.0","100,200.0","100,000.0","7.60K","0.00%"
"21/03/2025","100,200.0","100,000.0","100,800.0","100,000.0","12.10K","-0.10%"
"20/03/2025","100,300.0","100,400.0","100,400.0","100,300.0","5.90K","-0.10%"
"19/03/2025","100,400.0","101,000.0","101,400.0","100,300.0","10.90K","0.10%"
"18/03/2025","100,300.0","100,100.0","101,000.0","100,100.0","13.10K","-0.40%"
"17/03/2025","100,700.0","101,500.0","101,500.0","100,600.0","8.80K","-0.30%"
"14/03/2025","101,000.0","101,800.0","101,800.0","100,200.0","29.90K","0.50%"
"13/03/2025","100,500.0","101,200.0","101,300.0","100,500.0","18.20K","-0.69%"
"12/03/2025","101,200.0","101,900.0","101,900.0","101,000.0","19.90K","0.00%"
"11/03/2025","101,200.0","101,000.0","101,500.0","100,500.0","14.40K","0.20%"
"10/03/2025","101,000.0","101,200.0","101,700.0","100,500.0","20.10K","-0.10%"
"07/03/2025","101,100.0","101,400.0","101,500.0","101,000.0","15.90K","-0.10%"
"06/03/2025","101,200.0","101,800.0","102,000.0","101,200.0","14.10K","-0.49%"
"05/03/2025","101,700.0","102,000.0","102,500.0","101,500.0","15.70K","-0.49%"
"04/03/2025","102,200.0","101,600.0","102,400.0","101,600.0","9.40K","0.49%"
"03/03/2025","101,700.0","101,800.0","101,800.0","101,300.0","10.10K","0.20%"
"28/02/2025","101,500.0","101,000.0","101,900.0","101,000.0","17.10K","0.20%"
"27/02/2025","101,300.0","101,300.0","101,300.0","101,100.0","5.80K","0.00%"
"26/02/2025","101,300.0","101,200.0","102,000.0","101,000.0","13.20K","0.10%"
"25/02/2025","101,200.0","101,300.0","101,300.0","100,000.0","17.40K","0.00%"
"24/02/2025","101,200.0","101,100.0","101,500.0","101,000.0","34.30K","0.10%"
"21/02/2025","101,100.0","101,100.0","101,600.0","101,000.0","30.70K","0.00%"
"20/02/2025","101,100.0","101,200.0","102,000.0","101,000.0","28.80K","0.10%"
"19/02/2025","101,000.0","101,000.0","101,500.0","100,800.0","52.20K","0.00%"
"18/02/2025","101,000.0","100,000.0","101,000.0","100,000.0","19.10K","0.50%"
"17/02/2025","100,500.0","100,400.0","101,500.0","100,300.0","29.60K","-0.20%"
"14/02/2025","100,700.0","100,500.0","101,900.0","100,400.0","34.40K","0.40%"
"13/02/2025","100,300.0","101,500.0","102,000.0","100,300.0","23.20K","-1.18%"
"12/02/2025","101,500.0","102,000.0","102,800.0","101,500.0","8.40K","-0.39%"
"11/02/2025","101,900.0","101,000.0","102,900.0","101,000.0","21.50K","0.89%"
"10/02/2025","101,000.0","102,400.0","102,400.0","101,000.0","20.00K","-1.37%"
"07/02/2025","102,400.0","102,500.0","102,900.0","101,900.0","13.30K","-0.19%"
"06/02/2025","102,600.0","101,300.0","102,600.0","101,000.0","42.90K","1.38%"
"05/02/2025","101,200.0","102,300.0","102,300.0","101,000.0","10.60K","0.20%"
"04/02/2025","101,000.0","101,200.0","101,200.0","100,100.0","7.10K","1.00%"
"03/02/2025","100,000.0","101,600.0","101,600.0","96,500.0","25.40K","-1.57%"
