"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"18/04/2025","111,600.0","110,500.0","115,000.0","110,500.0","7.49M","2.01%"
"17/04/2025","109,400.0","105,000.0","111,300.0","104,900.0","8.58M","1.39%"
"16/04/2025","107,900.0","114,500.0","115,900.0","107,900.0","18.03M","-6.98%"
"15/04/2025","116,000.0","116,100.0","117,000.0","113,700.0","7.76M","-2.11%"
"14/04/2025","118,500.0","120,000.0","120,000.0","114,000.0","9.22M","0.00%"
"11/04/2025","118,500.0","117,000.0","118,500.0","114,300.0","19.22M","5.24%"
"10/04/2025","112,600.0","112,600.0","112,600.0","112,600.0","1.01M","6.93%"
"09/04/2025","105,300.0","97,800.0","108,000.0","97,800.0","16.89M","0.19%"
"08/04/2025","105,100.0","106,000.0","108,000.0","105,100.0","16.28M","-6.99%"
"04/04/2025","113,000.0","105,600.0","113,900.0","105,600.0","21.57M","-0.44%"
"03/04/2025","113,500.0","114,700.0","117,600.0","113,500.0","11.48M","-6.97%"
"02/04/2025","122,000.0","121,200.0","122,300.0","120,800.0","3.92M","1.24%"
"01/04/2025","120,500.0","122,000.0","122,200.0","118,800.0","7.82M","-0.41%"
"31/03/2025","121,000.0","123,400.0","123,400.0","121,000.0","5.41M","-2.42%"
"28/03/2025","124,000.0","126,100.0","126,400.0","124,000.0","2.94M","-1.74%"
"27/03/2025","126,200.0","122,000.0","126,500.0","121,100.0","6.46M","2.60%"
"26/03/2025","123,000.0","126,500.0","126,500.0","122,700.0","9.73M","-2.77%"
"25/03/2025","126,500.0","129,800.0","129,900.0","126,500.0","5.63M","-1.94%"
"24/03/2025","129,000.0","128,500.0","129,300.0","127,300.0","5.09M","0.78%"
"21/03/2025","128,000.0","125,000.0","129,000.0","125,000.0","6.42M","2.40%"
"20/03/2025","125,000.0","124,600.0","126,800.0","124,500.0","8.20M","0.32%"
"19/03/2025","124,600.0","130,100.0","130,600.0","123,500.0","18.13M","-4.15%"
"18/03/2025","130,000.0","130,100.0","132,200.0","130,000.0","5.51M","0.00%"
"17/03/2025","130,000.0","131,600.0","132,100.0","129,600.0","6.71M","-1.07%"
"14/03/2025","131,400.0","135,600.0","136,300.0","130,800.0","16.09M","-3.74%"
"13/03/2025","136,500.0","136,100.0","138,000.0","136,100.0","3.61M","0.44%"
"12/03/2025","135,900.0","137,700.0","138,700.0","135,900.0","6.19M","-1.16%"
"11/03/2025","137,500.0","138,000.0","138,500.0","137,000.0","5.78M","-1.29%"
"10/03/2025","139,300.0","141,500.0","141,500.0","139,200.0","5.32M","-1.49%"
"07/03/2025","141,400.0","141,700.0","142,700.0","141,100.0","2.95M","-0.14%"
"06/03/2025","141,600.0","139,500.0","143,500.0","139,500.0","6.42M","1.80%"
