"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"18/04/2025","58,400.0","58,400.0","59,400.0","58,300.0","656.60K","0.52%"
"17/04/2025","58,100.0","57,300.0","58,300.0","57,000.0","483.90K","0.00%"
"16/04/2025","58,100.0","58,200.0","58,800.0","57,100.0","628.80K","-0.17%"
"15/04/2025","58,200.0","59,000.0","59,300.0","58,100.0","840.70K","-1.69%"
"14/04/2025","59,200.0","59,800.0","59,800.0","58,600.0","1.09M","1.89%"
"11/04/2025","58,100.0","58,100.0","58,100.0","55,800.0","2.26M","7.00%"
"10/04/2025","54,300.0","54,300.0","54,300.0","54,300.0","57.50K","6.89%"
"09/04/2025","50,800.0","50,800.0","56,000.0","50,800.0","2.77M","-6.96%"
"08/04/2025","54,600.0","56,000.0","56,300.0","54,600.0","2.63M","-6.98%"
"04/04/2025","58,700.0","58,200.0","60,800.0","58,200.0","2.75M","-6.08%"
"03/04/2025","62,500.0","63,500.0","65,400.0","62,500.0","2.01M","-6.86%"
"02/04/2025","67,100.0","67,200.0","67,600.0","67,000.0","254.30K","-0.59%"
"01/04/2025","67,500.0","66,900.0","67,800.0","66,700.0","870.90K","1.05%"
"31/03/2025","66,800.0","66,800.0","66,800.0","66,000.0","727.90K","0.00%"
"28/03/2025","66,800.0","67,400.0","67,400.0","66,800.0","771.80K","-0.60%"
"27/03/2025","67,200.0","67,600.0","68,000.0","67,100.0","426.50K","-0.44%"
"26/03/2025","67,500.0","67,300.0","68,200.0","67,200.0","548.30K","0.45%"
"25/03/2025","67,200.0","67,500.0","67,600.0","67,100.0","767.60K","0.00%"
"24/03/2025","67,200.0","68,000.0","68,000.0","67,000.0","1.20M","-0.74%"
"21/03/2025","67,700.0","68,500.0","68,600.0","67,700.0","1.17M","-1.31%"
"20/03/2025","68,600.0","68,700.0","69,100.0","68,100.0","750.00K","-0.29%"
"19/03/2025","68,800.0","69,100.0","69,800.0","68,600.0","703.70K","-0.43%"
"18/03/2025","69,100.0","68,600.0","69,900.0","68,100.0","2.80M","1.32%"
