"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"18/04/2025","25,450.0","25,650.0","25,750.0","25,450.0","20.77M","-0.20%"
"17/04/2025","25,500.0","25,200.0","25,600.0","24,800.0","24.44M","0.00%"
"16/04/2025","25,500.0","25,900.0","26,000.0","25,050.0","25.71M","-1.35%"
"15/04/2025","25,850.0","25,150.0","26,150.0","25,050.0","50.57M","1.97%"
"14/04/2025","25,350.0","24,800.0","25,750.0","24,750.0","51.20M","4.32%"
"11/04/2025","24,300.0","24,200.0","24,300.0","23,500.0","76.27M","6.81%"
"10/04/2025","22,750.0","22,750.0","22,750.0","22,750.0","3.06M","6.81%"
"09/04/2025","21,300.0","21,300.0","22,300.0","21,300.0","77.16M","-6.99%"
"08/04/2025","22,900.0","23,500.0","24,000.0","22,900.0","35.44M","-6.91%"
"04/04/2025","24,600.0","23,600.0","24,850.0","23,600.0","73.18M","-2.96%"
"03/04/2025","25,350.0","25,800.0","26,450.0","25,350.0","80.70M","-6.97%"
"02/04/2025","27,250.0","27,150.0","27,400.0","27,100.0","16.79M","0.93%"
"01/04/2025","27,000.0","26,800.0","27,050.0","26,750.0","14.02M","0.93%"
"31/03/2025","26,750.0","27,050.0","27,100.0","26,750.0","26.54M","-1.47%"
"28/03/2025","27,150.0","27,450.0","27,500.0","27,100.0","17.07M","-1.27%"
"27/03/2025","27,500.0","27,700.0","27,700.0","27,450.0","12.01M","-0.18%"
"26/03/2025","27,550.0","27,200.0","27,950.0","27,150.0","43.98M","1.29%"
"25/03/2025","27,200.0","27,250.0","27,400.0","27,100.0","20.10M","0.18%"
"24/03/2025","27,150.0","27,150.0","27,250.0","26,900.0","16.23M","0.00%"
"21/03/2025","27,150.0","27,100.0","27,250.0","27,050.0","18.91M","0.00%"
"20/03/2025","27,150.0","27,300.0","27,450.0","27,050.0","25.02M","-0.37%"
"19/03/2025","27,250.0","27,600.0","27,600.0","27,100.0","37.93M","-1.27%"
"18/03/2025","27,600.0","27,900.0","28,050.0","27,600.0","18.74M","-0.90%"
"17/03/2025","27,850.0","27,900.0","28,150.0","27,750.0","19.72M","1.09%"
"14/03/2025","27,550.0","27,700.0","27,850.0","27,550.0","18.28M","-0.54%"
"13/03/2025","27,700.0","27,850.0","28,050.0","27,700.0","24.81M","-0.36%"
"12/03/2025","27,800.0","28,200.0","28,200.0","27,800.0","20.64M","-1.24%"
"11/03/2025","28,150.0","27,600.0","28,150.0","27,600.0","26.09M","0.72%"
"10/03/2025","27,950.0","28,100.0","28,200.0","27,950.0","23.58M","-0.36%"
"07/03/2025","28,050.0","28,000.0","28,100.0","27,750.0","33.13M","0.36%"
"06/03/2025","27,950.0","27,600.0","27,950.0","27,600.0","36.98M","1.45%"
"05/03/2025","27,550.0","27,850.0","27,900.0","27,550.0","30.39M","-1.08%"
"04/03/2025","27,850.0","28,050.0","28,050.0","27,650.0","27.42M","-0.71%"
"03/03/2025","28,050.0","28,050.0","28,250.0","28,000.0","20.66M","0.18%"
"28/02/2025","28,000.0","28,400.0","28,400.0","27,950.0","24.21M","-1.58%"
"27/02/2025","28,450.0","27,800.0","28,450.0","27,600.0","51.12M","2.52%"
"26/02/2025","27,750.0","27,600.0","27,950.0","27,550.0","31.82M","0.91%"
"25/02/2025","27,500.0","27,600.0","27,700.0","27,200.0","31.58M","-0.72%"
"24/02/2025","27,700.0","28,300.0","28,300.0","27,550.0","73.89M","4.73%"
"21/02/2025","26,450.0","26,550.0","26,600.0","26,400.0","11.06M","-0.38%"
"20/02/2025","26,550.0","26,550.0","26,600.0","26,500.0","11.91M","0.19%"
"19/02/2025","26,500.0","26,600.0","26,600.0","26,400.0","13.65M","-0.19%"
"18/02/2025","26,550.0","26,350.0","26,600.0","26,300.0","24.94M","1.53%"
"17/02/2025","26,150.0","26,150.0","26,250.0","26,050.0","14.37M","0.19%"
"14/02/2025","26,100.0","26,100.0","26,300.0","26,000.0","18.58M","0.77%"
"13/02/2025","25,900.0","25,950.0","26,000.0","25,850.0","9.50M","0.19%"
"12/02/2025","25,850.0","26,200.0","26,200.0","25,850.0","13.65M","-0.96%"
"11/02/2025","26,100.0","25,450.0","26,100.0","25,450.0","28.90M","2.76%"
"10/02/2025","25,400.0","26,500.0","26,500.0","25,400.0","61.10M","-4.69%"
"07/02/2025","26,650.0","26,800.0","26,800.0","26,600.0","12.55M","-0.56%"
"06/02/2025","26,800.0","26,800.0","26,950.0","26,750.0","13.54M","0.00%"
"05/02/2025","26,800.0","26,850.0","27,000.0","26,750.0","14.47M","-0.19%"
"04/02/2025","26,850.0","26,500.0","27,000.0","26,450.0","17.36M","1.70%"
"03/02/2025","26,400.0","26,500.0","26,600.0","26,250.0","16.97M","-0.56%"
"24/01/2025","26,550.0","26,650.0","26,650.0","26,450.0","10.40M","-0.38%"
"23/01/2025","26,650.0","26,200.0","26,750.0","26,150.0","15.79M","1.91%"
"22/01/2025","26,150.0","26,400.0","26,400.0","26,150.0","10.28M","-0.57%"
"21/01/2025","26,300.0","26,600.0","26,600.0","26,200.0","10.42M","-0.57%"
"20/01/2025","26,450.0","26,500.0","26,750.0","26,450.0","9.65M","-0.19%"
"17/01/2025","26,500.0","26,300.0","26,500.0","26,100.0","13.95M","0.76%"
"16/01/2025","26,300.0","26,300.0","26,450.0","26,050.0","11.21M","0.38%"
"15/01/2025","26,200.0","26,000.0","26,250.0","25,900.0","11.22M","1.35%"
"14/01/2025","25,850.0","25,950.0","26,000.0","25,800.0","7.66M","-0.19%"
"13/01/2025","25,900.0","25,550.0","26,050.0","25,450.0","13.58M","1.37%"
"10/01/2025","25,550.0","26,000.0","26,100.0","25,550.0","14.27M","-1.73%"
"09/01/2025","26,000.0","26,300.0","26,300.0","25,900.0","9.24M","-0.95%"
"08/01/2025","26,250.0","26,050.0","26,250.0","25,950.0","12.96M","0.77%"
"07/01/2025","26,050.0","26,150.0","26,400.0","26,050.0","14.40M","0.00%"
"06/01/2025","26,050.0","26,600.0","26,700.0","26,050.0","15.25M","-2.07%"
"03/01/2025","26,600.0","26,900.0","27,000.0","26,600.0","13.20M","-1.48%"
"02/01/2025","27,000.0","26,700.0","27,050.0","26,700.0","14.96M","1.31%"
"31/12/2024","26,650.0","26,750.0","26,750.0","26,600.0","10.25M","-0.37%"
"30/12/2024","26,750.0","26,800.0","26,850.0","26,650.0","12.17M","-0.37%"
"27/12/2024","26,850.0","27,000.0","27,000.0","26,800.0","11.39M","-0.56%"
"26/12/2024","27,000.0","27,150.0","27,200.0","26,850.0","9.98M","-0.55%"
"25/12/2024","27,150.0","26,750.0","27,150.0","26,750.0","17.14M","1.69%"
"24/12/2024","26,700.0","26,900.0","26,900.0","26,600.0","13.46M","-1.11%"
"23/12/2024","27,000.0","26,750.0","27,050.0","26,750.0","12.90M","1.12%"
"20/12/2024","26,700.0","26,850.0","26,950.0","26,700.0","13.75M","-0.56%"
"19/12/2024","26,850.0","27,000.0","27,150.0","26,800.0","30.33M","-1.83%"
"18/12/2024","27,350.0","27,000.0","27,350.0","26,950.0","12.79M","1.30%"
"17/12/2024","27,000.0","27,000.0","27,100.0","26,850.0","10.81M","0.00%"
"16/12/2024","27,000.0","27,200.0","27,350.0","26,850.0","16.65M","-0.74%"
"13/12/2024","27,200.0","27,300.0","27,400.0","27,100.0","17.27M","-1.09%"
"12/12/2024","27,500.0","27,750.0","27,900.0","27,350.0","20.97M","-0.90%"
"11/12/2024","27,750.0","27,900.0","28,150.0","27,600.0","17.03M","-0.54%"
"10/12/2024","27,900.0","27,700.0","28,200.0","27,600.0","32.69M","0.90%"
"09/12/2024","27,650.0","27,650.0","27,900.0","27,500.0","15.95M","0.18%"
"06/12/2024","27,600.0","27,850.0","27,900.0","27,500.0","23.75M","-0.90%"
"05/12/2024","27,850.0","26,700.0","27,850.0","26,400.0","44.75M","4.31%"
"04/12/2024","26,700.0","26,850.0","26,850.0","26,650.0","12.51M","-1.11%"
"03/12/2024","27,000.0","26,850.0","27,000.0","26,600.0","15.81M","0.37%"
"02/12/2024","26,900.0","26,950.0","27,150.0","26,750.0","18.58M","0.56%"
"29/11/2024","26,750.0","26,450.0","26,750.0","26,300.0","13.88M","1.33%"
"28/11/2024","26,400.0","26,450.0","26,750.0","26,300.0","14.13M","0.38%"
"27/11/2024","26,300.0","26,350.0","26,450.0","26,100.0","7.97M","-0.19%"
"26/11/2024","26,350.0","26,300.0","26,500.0","26,200.0","13.18M","0.19%"
"25/11/2024","26,300.0","26,100.0","26,300.0","26,050.0","12.83M","0.77%"
"22/11/2024","26,100.0","25,900.0","26,250.0","25,850.0","17.27M","0.97%"
"21/11/2024","25,850.0","25,650.0","25,950.0","25,550.0","12.78M","0.98%"
"20/11/2024","25,600.0","25,400.0","26,000.0","25,250.0","22.75M","0.59%"
"19/11/2024","25,450.0","25,850.0","26,000.0","25,450.0","15.84M","-1.36%"
"18/11/2024","25,800.0","26,000.0","26,050.0","25,500.0","20.60M","-0.39%"
"15/11/2024","25,900.0","26,300.0","26,350.0","25,900.0","27.60M","-1.52%"
"14/11/2024","26,300.0","27,050.0","27,100.0","26,300.0","26.56M","-2.77%"
"13/11/2024","27,050.0","27,200.0","27,400.0","26,850.0","22.29M","-1.64%"
"12/11/2024","27,500.0","27,750.0","27,900.0","27,300.0","23.96M","-0.72%"
"11/11/2024","27,700.0","27,050.0","27,700.0","26,950.0","40.88M","2.59%"
