"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"18/04/2025","58,000","57,900","59,000","57,900","3.63M","1.22%"
"17/04/2025","57,300","55,000","57,600","55,000","4.98M","1.60%"
"16/04/2025","56,400","58,300","58,800","56,400","6.39M","-3.59%"
"15/04/2025","58,500","59,000","60,900","58,100","6.08M","-2.50%"
"14/04/2025","60,000","57,700","60,300","56,900","7.93M","5.08%"
"11/04/2025","57,100","55,400","57,500","53,100","14.12M","6.13%"
"10/04/2025","53,800","53,800","53,800","53,800","491.60K","6.96%"
"09/04/2025","50,300","50,300","52,900","50,300","13.47M","-6.85%"
"08/04/2025","54,000","55,100","56,800","54,000","5.45M","-6.90%"
"04/04/2025","58,000","57,200","58,700","57,200","14.30M","-5.54%"
"03/04/2025","61,400","63,000","63,900","61,400","10.61M","-6.97%"
"02/04/2025","66,000","66,700","67,000","66,000","3.64M","-0.30%"
"01/04/2025","66,200","67,800","67,800","65,600","6.50M","-0.90%"
"31/03/2025","66,800","68,500","69,700","66,800","6.98M","-2.48%"
"28/03/2025","68,500","69,400","69,600","68,300","3.80M","-1.30%"
"27/03/2025","69,400","68,600","70,700","68,500","7.24M","1.61%"
"26/03/2025","68,300","68,600","69,600","68,300","3.80M","-0.29%"
"25/03/2025","68,500","68,500","69,000","68,100","2.77M","0.00%"
"24/03/2025","68,500","67,800","68,800","67,800","2.43M","0.88%"
"21/03/2025","67,900","68,600","68,600","67,500","3.80M","-0.73%"
"20/03/2025","68,400","68,500","69,100","68,200","3.44M","-0.15%"
"19/03/2025","68,500","69,500","69,600","68,500","6.65M","-1.58%"
"18/03/2025","69,600","70,700","71,300","69,600","6.18M","-1.28%"
"17/03/2025","70,500","71,400","71,400","70,300","4.53M","-0.84%"
"14/03/2025","71,100","70,500","71,900","70,400","7.30M","0.99%"
"13/03/2025","70,400","68,700","71,200","68,700","11.57M","2.47%"
"12/03/2025","68,700","68,900","69,700","68,700","4.99M","-0.29%"
"11/03/2025","68,900","68,200","68,900","68,100","4.53M","0.00%"
"10/03/2025","68,900","69,000","69,900","68,700","5.12M","-0.14%"
"07/03/2025","69,000","69,200","70,000","68,400","4.41M","-0.29%"
"06/03/2025","69,200","68,400","69,200","68,200","4.34M","1.47%"
"05/03/2025","68,200","69,300","70,200","68,200","6.22M","-1.30%"
"04/03/2025","69,100","68,000","69,100","67,400","5.95M","1.62%"
"03/03/2025","68,000","67,800","68,400","67,700","2.76M","0.44%"
"28/02/2025","67,700","68,400","68,500","67,500","3.93M","-1.02%"
"27/02/2025","68,400","68,500","69,300","68,200","4.57M","0.15%"
"26/02/2025","68,300","68,400","68,600","68,000","2.08M","-0.15%"
"25/02/2025","68,400","67,800","68,900","67,800","5.12M","1.18%"
"24/02/2025","67,600","67,200","67,700","66,800","3.25M","0.00%"
"21/02/2025","67,600","68,000","68,000","67,200","2.32M","-0.59%"
"20/02/2025","68,000","68,000","68,000","67,500","2.94M","0.44%"
"19/02/2025","67,700","66,600","67,700","66,600","3.26M","1.96%"
"18/02/2025","66,400","66,400","67,200","66,000","2.60M","0.00%"
"17/02/2025","66,400","68,100","68,400","66,200","5.69M","-2.50%"
"14/02/2025","68,100","69,200","69,400","67,800","2.98M","-1.16%"
"13/02/2025","68,900","68,800","69,000","68,300","1.82M","-0.14%"
"12/02/2025","69,000","68,700","69,100","68,300","2.09M","0.44%"
"11/02/2025","68,700","68,800","68,900","68,100","2.44M","-0.15%"
"10/02/2025","68,800","67,800","69,700","67,800","6.91M","1.62%"
"07/02/2025","67,700","67,700","68,000","67,200","2.27M","0.45%"
"06/02/2025","67,400","67,500","68,100","67,200","2.80M","-0.15%"
"05/02/2025","67,500","68,700","68,700","67,300","4.85M","-1.60%"
"04/02/2025","68,600","68,100","68,800","68,100","3.95M","0.88%"
"03/02/2025","68,000","67,800","68,400","67,000","4.36M","0.00%"
"24/01/2025","68,000","65,500","68,000","65,400","6.68M","3.98%"
"23/01/2025","65,400","65,300","66,100","65,200","3.69M","0.31%"
"22/01/2025","65,200","65,800","66,200","65,200","2.34M","-0.76%"
"21/01/2025","65,700","65,600","66,400","65,400","2.26M","0.31%"
"20/01/2025","65,500","66,000","66,300","65,500","1.81M","-0.61%"
"17/01/2025","65,900","66,300","66,400","65,700","1.69M","-0.60%"
"16/01/2025","66,300","66,500","66,500","65,300","2.46M","0.76%"
"15/01/2025","65,800","64,500","66,400","64,000","4.16M","3.30%"
"14/01/2025","63,700","65,000","65,300","63,700","3.59M","-2.00%"
"13/01/2025","65,000","65,400","65,500","64,400","3.67M","-0.76%"
"10/01/2025","65,500","67,300","67,400","65,500","2.91M","-2.67%"
"09/01/2025","67,300","67,800","68,100","66,800","1.89M","-0.59%"
"08/01/2025","67,700","66,900","68,000","66,600","2.81M","1.35%"
"07/01/2025","66,800","67,300","68,200","66,500","5.74M","-0.60%"
"06/01/2025","67,200","69,800","70,200","67,200","5.16M","-3.59%"
"03/01/2025","69,700","70,800","70,800","69,600","2.68M","-1.55%"
"02/01/2025","70,800","70,100","70,900","70,000","2.33M","1.14%"
"31/12/2024","70,000","70,200","70,800","70,000","2.80M","-0.14%"
"30/12/2024","70,100","70,300","70,800","70,000","1.65M","-0.43%"
"27/12/2024","70,400","70,500","71,100","70,400","2.40M","-0.14%"
"26/12/2024","70,500","71,100","71,300","70,500","2.13M","-0.28%"
"25/12/2024","70,700","70,200","71,200","70,200","3.71M","0.71%"
"24/12/2024","70,200","70,400","70,600","69,900","3.83M","-0.14%"
"23/12/2024","70,300","70,900","71,000","70,300","1.76M","0.00%"
"20/12/2024","70,300","70,500","70,600","70,000","2.75M","-0.14%"
"19/12/2024","70,400","71,000","71,200","70,300","3.51M","-1.40%"
"18/12/2024","71,400","71,100","71,400","71,000","2.49M","0.56%"
"17/12/2024","71,000","71,000","71,300","71,000","1.65M","-0.14%"
"16/12/2024","71,100","71,200","71,700","70,900","2.46M","0.00%"
"13/12/2024","71,100","72,000","72,000","71,000","3.54M","-1.39%"
"12/12/2024","72,100","72,500","72,700","72,100","2.67M","-0.83%"
"11/12/2024","72,700","73,000","73,700","72,200","2.86M","0.00%"
"10/12/2024","72,700","73,000","73,300","72,700","2.51M","-0.68%"
"09/12/2024","73,200","73,400","73,600","73,100","2.81M","-0.27%"
"06/12/2024","73,400","74,100","74,200","73,200","5.64M","-0.41%"
"05/12/2024","73,700","71,900","73,700","71,800","5.39M","2.22%"
"04/12/2024","72,100","72,500","72,500","71,400","4.11M","-0.83%"
"03/12/2024","72,700","72,400","73,000","72,400","2.93M","0.14%"
"02/12/2024","72,600","73,200","73,500","72,500","2.72M","-0.82%"
"29/11/2024","73,200","72,500","73,600","72,200","4.42M","1.10%"
"28/11/2024","72,400","72,900","73,000","72,200","3.11M","-0.41%"
"27/11/2024","72,700","72,500","72,900","72,400","2.24M","0.00%"
"26/11/2024","72,700","72,300","73,100","72,100","4.76M","0.69%"
"25/11/2024","72,200","71,200","72,500","71,000","4.92M","1.69%"
"22/11/2024","71,000","71,300","71,600","70,800","3.66M","-0.42%"
"21/11/2024","71,300","70,500","71,500","70,100","3.80M","1.42%"
"20/11/2024","70,300","69,900","70,900","69,100","3.92M","0.43%"
"19/11/2024","70,000","70,600","71,400","70,000","3.92M","-0.43%"
"18/11/2024","70,300","70,600","71,100","69,300","5.23M","-0.42%"
"15/11/2024","70,600","71,100","71,700","70,600","5.69M","-1.12%"
"14/11/2024","71,400","72,600","73,200","71,400","4.52M","-2.19%"
"13/11/2024","73,000","72,300","73,100","71,900","4.12M","0.69%"
"12/11/2024","72,500","73,500","73,900","72,400","3.99M","-1.36%"
"11/11/2024","73,500","72,300","73,700","71,300","8.24M","1.66%"
"08/11/2024","72,300","73,300","73,600","72,200","7.81M","-1.36%"
"07/11/2024","73,300","74,300","74,400","73,300","4.43M","-1.21%"
"06/11/2024","74,200","73,500","74,400","73,300","6.27M","1.50%"
"05/11/2024","73,100","73,200","73,700","73,000","4.97M","-0.14%"
"04/11/2024","73,200","74,500","74,700","73,100","8.32M","-1.74%"
"01/11/2024","74,500","76,100","76,400","74,200","13.05M","-2.74%"
"31/10/2024","76,600","77,300","77,400","76,000","8.54M","-1.92%"
"30/10/2024","78,100","78,000","78,100","76,800","5.64M","0.13%"
"29/10/2024","78,000","78,100","78,200","77,300","3.29M","0.13%"
"28/10/2024","77,900","77,200","77,900","76,300","5.74M","0.91%"
"25/10/2024","77,200","79,100","79,300","77,200","10.13M","-1.66%"
"24/10/2024","78,500","79,500","80,600","78,500","5.51M","-1.13%"
"23/10/2024","79,400","79,000","80,100","78,300","4.19M","0.63%"
"22/10/2024","78,900","80,000","80,400","78,500","7.31M","-1.62%"
"21/10/2024","80,200","80,100","81,200","79,700","5.18M","-0.25%"
"18/10/2024","80,400","81,300","81,400","80,300","5.10M","-0.74%"
"17/10/2024","81,000","80,600","81,000","79,300","5.88M","0.75%"
"16/10/2024","80,400","80,800","82,300","80,000","8.07M","-0.50%"
"15/10/2024","80,800","80,300","81,500","80,200","6.65M","0.62%"
"14/10/2024","80,300","82,000","82,100","80,100","5.91M","-0.99%"
"11/10/2024","81,100","80,200","81,100","79,500","6.90M","1.38%"
"10/10/2024","80,000","78,000","80,500","77,900","19.87M","3.90%"
"09/10/2024","77,000","75,300","77,100","75,100","8.35M","2.39%"
"08/10/2024","75,200","75,000","75,400","74,600","2.77M","0.53%"
"07/10/2024","74,800","76,000","76,300","74,500","4.12M","-1.06%"
"04/10/2024","75,600","76,000","76,400","75,500","3.19M","-0.53%"
"03/10/2024","76,000","76,000","77,300","76,000","7.17M","0.00%"
"02/10/2024","76,000","76,300","76,500","76,000","2.35M","-0.78%"
"01/10/2024","76,600","75,800","77,400","75,800","6.91M","1.19%"
"30/09/2024","75,700","75,900","76,600","75,600","3.47M","-0.26%"
"27/09/2024","75,900","76,300","76,400","75,200","3.73M","-0.26%"
"26/09/2024","76,100","75,800","76,400","75,700","4.62M","0.79%"
"25/09/2024","75,500","75,100","75,800","75,100","5.14M","0.94%"
"24/09/2024","74,800","74,400","74,800","74,000","3.04M","0.54%"
"23/09/2024","74,400","74,700","75,300","74,400","1.84M","-0.40%"
"20/09/2024","74,700","75,000","75,700","74,600","4.01M","0.40%"
"19/09/2024","74,400","74,500","74,800","74,000","2.66M","0.00%"
"18/09/2024","74,400","74,700","75,300","74,400","2.72M","-0.13%"
"17/09/2024","74,500","73,000","74,500","72,800","2.79M","2.19%"
"16/09/2024","72,900","74,200","74,600","72,800","5.07M","-1.75%"
"13/09/2024","74,200","75,100","75,400","74,200","2.86M","-1.20%"
"12/09/2024","75,100","75,600","75,800","74,900","1.66M","0.00%"
