"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"18/04/2025","56,200","56,900","57,600","56,200","6.35M","-1.06%"
"17/04/2025","56,800","55,900","56,800","55,600","5.40M","0.00%"
"16/04/2025","56,800","56,600","57,700","55,600","9.25M","-0.53%"
"15/04/2025","57,100","56,000","57,600","55,100","12.06M","0.88%"
"14/04/2025","56,600","55,000","56,600","54,300","15.36M","6.99%"
"11/04/2025","52,900","51,000","52,900","50,600","12.78M","6.98%"
"10/04/2025","49,450","49,450","49,450","49,450","411.30K","6.92%"
"09/04/2025","46,250","45,750","49,200","45,750","20.21M","-5.90%"
"08/04/2025","49,150","49,200","50,000","49,150","11.93M","-6.91%"
"04/04/2025","52,800","50,900","53,500","50,900","28.99M","-3.47%"
"03/04/2025","54,700","55,100","56,300","54,700","14.96M","-6.97%"
"02/04/2025","58,800","58,600","59,700","58,000","7.44M","0.34%"
"01/04/2025","58,600","58,600","58,900","57,700","5.64M","-0.68%"
"31/03/2025","59,000","59,000","59,200","58,100","6.53M","-1.34%"
"28/03/2025","59,800","60,100","60,700","58,900","7.23M","-0.99%"
"27/03/2025","60,400","60,800","60,800","60,000","3.19M","-0.66%"
"26/03/2025","60,800","60,600","61,200","60,500","2.42M","0.50%"
"25/03/2025","60,500","60,400","61,300","59,900","5.51M","0.33%"
"24/03/2025","60,300","59,800","60,300","59,500","2.86M","0.00%"
"21/03/2025","60,300","60,000","60,300","59,400","3.13M","0.50%"
"20/03/2025","60,000","59,800","60,000","59,000","4.06M","0.84%"
"19/03/2025","59,500","61,200","61,400","59,000","13.42M","-3.72%"
"18/03/2025","61,800","62,200","62,500","61,400","5.35M","-0.32%"
"17/03/2025","62,000","61,700","62,000","61,400","3.54M","0.81%"
"14/03/2025","61,500","61,500","62,300","61,200","8.76M","0.00%"
"13/03/2025","61,500","62,700","62,800","61,200","7.33M","-1.91%"
"12/03/2025","62,700","63,000","63,000","61,900","8.82M","-0.48%"
"11/03/2025","63,000","61,400","63,200","61,400","9.58M","1.29%"
"10/03/2025","62,200","62,000","62,300","61,400","8.13M","0.48%"
"07/03/2025","61,900","61,800","62,000","61,300","5.40M","0.00%"
"06/03/2025","61,900","59,800","61,900","59,600","13.45M","3.86%"
"05/03/2025","59,600","59,800","60,200","59,300","7.19M","0.17%"
"04/03/2025","59,500","58,700","59,900","58,400","6.41M","1.19%"
"03/03/2025","58,800","58,200","59,100","57,800","5.94M","0.86%"
"28/02/2025","58,300","58,000","58,700","57,800","5.28M","-0.51%"
"27/02/2025","58,600","58,700","58,800","58,200","3.22M","-0.17%"
"26/02/2025","58,700","58,300","59,100","57,800","4.98M","0.69%"
"25/02/2025","58,300","58,100","58,400","57,400","7.93M","-0.17%"
"24/02/2025","58,400","58,100","58,500","57,300","6.24M","0.52%"
"21/02/2025","58,100","56,800","58,300","56,600","10.12M","2.47%"
"20/02/2025","56,700","55,900","56,700","55,700","6.19M","1.61%"
"19/02/2025","55,800","54,700","56,100","54,400","7.55M","2.39%"
"18/02/2025","54,500","54,000","55,000","53,800","4.50M","0.74%"
"17/02/2025","54,100","55,200","55,200","54,100","5.93M","-1.99%"
"14/02/2025","55,200","55,100","55,300","53,800","11.17M","0.73%"
"13/02/2025","54,800","56,000","56,000","54,800","11.35M","-2.84%"
"12/02/2025","56,400","56,800","57,300","56,400","4.85M","0.00%"
"11/02/2025","56,400","57,400","57,400","56,400","5.99M","-1.74%"
"10/02/2025","57,400","58,300","58,300","57,400","5.93M","-2.55%"
"07/02/2025","58,900","58,900","59,000","57,800","6.96M","-0.34%"
"06/02/2025","59,100","59,500","59,600","58,700","4.15M","-0.51%"
"05/02/2025","59,400","59,600","59,800","59,100","2.78M","-0.34%"
"04/02/2025","59,600","59,900","59,900","59,000","3.64M","0.00%"
"03/02/2025","59,600","59,000","59,600","58,500","5.16M","-0.83%"
"24/01/2025","60,100","59,200","60,100","58,600","6.76M","1.52%"
