"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"18/04/2025","66,100","71,800","71,800","66,100","10.57M","-6.90%"
"17/04/2025","71,000","67,700","71,000","67,200","8.06M","4.57%"
"16/04/2025","67,900","70,600","72,000","67,400","7.55M","-3.69%"
"15/04/2025","70,500","70,400","74,400","70,000","12.27M","1.29%"
"14/04/2025","69,600","66,500","69,600","66,000","8.83M","6.91%"
"11/04/2025","65,100","59,700","65,100","59,700","13.36M","6.90%"
"10/04/2025","60,900","60,900","60,900","60,900","3.80M","6.84%"
"09/04/2025","57,000","52,100","58,400","52,100","13.00M","3.45%"
"08/04/2025","55,100","58,000","58,000","54,300","11.57M","-5.49%"
"04/04/2025","58,300","54,200","59,500","53,400","14.55M","3.74%"
"03/04/2025","56,200","58,200","59,800","56,200","19.21M","-6.95%"
"02/04/2025","60,400","60,500","61,200","59,500","7.32M","1.17%"
"01/04/2025","59,700","58,700","60,800","58,200","7.76M","2.93%"
"31/03/2025","58,000","57,800","58,500","57,300","6.65M","0.00%"
"28/03/2025","58,000","57,000","58,300","56,900","5.54M","1.58%"
"27/03/2025","57,100","57,500","58,700","56,600","4.57M","0.18%"
"26/03/2025","57,000","57,800","58,000","55,700","6.49M","0.18%"
"25/03/2025","56,900","57,700","59,200","56,600","7.93M","0.35%"
"24/03/2025","56,700","53,000","56,700","52,700","11.90M","6.98%"
"21/03/2025","53,000","51,600","53,000","51,000","7.49M","2.91%"
"20/03/2025","51,500","52,000","53,200","50,700","6.63M","-0.77%"
"19/03/2025","51,900","50,800","52,500","49,200","10.34M","1.17%"
"18/03/2025","51,300","52,100","52,700","51,100","6.02M","-1.54%"
"17/03/2025","52,100","52,500","52,700","50,800","6.50M","-0.19%"
"14/03/2025","52,200","51,800","52,800","51,400","8.42M","1.56%"
"13/03/2025","51,400","48,300","51,400","47,500","16.42M","6.86%"
"12/03/2025","48,100","47,350","48,250","47,350","7.00M","1.69%"
"11/03/2025","47,300","46,900","47,300","46,500","5.69M","0.00%"
"10/03/2025","47,300","45,900","47,900","45,800","9.90M","4.42%"
"07/03/2025","45,300","42,300","45,300","42,250","11.50M","6.97%"
"06/03/2025","42,350","42,300","42,550","42,050","2.63M","0.24%"
"05/03/2025","42,250","42,050","42,500","42,000","2.91M","0.72%"
"04/03/2025","41,950","42,450","42,500","41,800","3.06M","-0.24%"
